virtual_group_id,measure_cd,measure_title,invs_msr,attestation_value,prf_rate,patient_count,collection_type
X00021,MIPS_VG_127_overall,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention - Evaluation of Footwear",N,,100.0,150.0,REG
X00022,MIPS_VG_127_overall,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention - Evaluation of Footwear",N,,100.0,28.0,REG
X00023,MIPS_VG_127_overall,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention - Evaluation of Footwear",N,,100.0,48.0,REG
X00024,MIPS_VG_127_overall,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention - Evaluation of Footwear",N,,100.0,70.0,REG
X00025,MIPS_VG_127_overall,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention - Evaluation of Footwear",N,,100.0,58.0,REG
X00006,MIPS_VG_128_overall,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,,17.0,15869.0,EHR
X00021,MIPS_VG_128_overall,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,,100.0,1350.0,REG
X00022,MIPS_VG_128_overall,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,,100.0,1434.0,REG
X00023,MIPS_VG_128_overall,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,,100.0,1240.0,REG
X00024,MIPS_VG_128_overall,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,,100.0,993.0,REG
X00025,MIPS_VG_128_overall,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,,100.0,999.0,REG
X00006,MIPS_VG_130_overall,Documentation of Current Medications in the Medical Record,N,,77.0,29198.0,EHR
X00023,MIPS_VG_134_overall,Preventive Care and Screening: Screening for Depression and Follow-Up Plan,N,,100.0,702.0,REG
X00003,MIPS_VG_145_overall,Radiology: Exposure Dose Indices or Exposure Time and Number of Images Reported for Procedures Using Fluoroscopy,N,,100.0,614.0,CLM
X00021,MIPS_VG_155_overall,Falls: Plan of Care,N,,100.0,182.0,REG
X00023,MIPS_VG_155_overall,Falls: Plan of Care,N,,100.0,86.0,REG
X00024,MIPS_VG_155_overall,Falls: Plan of Care,N,,100.0,126.0,REG
X00025,MIPS_VG_155_overall,Falls: Plan of Care,N,,100.0,92.0,REG
X00021,MIPS_VG_182_overall,Functional Outcome Assessment,N,,99.0,1490.0,REG
X00022,MIPS_VG_182_overall,Functional Outcome Assessment,N,,100.0,1498.0,REG
X00023,MIPS_VG_182_overall,Functional Outcome Assessment,N,,100.0,1637.0,REG
X00024,MIPS_VG_182_overall,Functional Outcome Assessment,N,,100.0,1463.0,REG
X00025,MIPS_VG_182_overall,Functional Outcome Assessment,N,,99.0,1230.0,REG
X00006,MIPS_VG_226_overall,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,,12.0,374.0,EHR
X00006,MIPS_VG_226_screenedForUse,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,,57.0,7474.0,EHR
X00006,MIPS_VG_226_tobacco,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,,52.0,7474.0,EHR
X00006,MIPS_VG_238_diagnosisException,Use of High-Risk Medications in Older Adults,Y,,0.0,8257.0,EHR
X00006,MIPS_VG_238_eCQMTotalRate,Use of High-Risk Medications in Older Adults,Y,,0.0,8257.0,EHR
X00006,MIPS_VG_238_overall,Use of High-Risk Medications in Older Adults,Y,,0.0,8257.0,EHR
X00006,MIPS_VG_318_overall,Falls: Screening for Future Fall Risk,N,,38.0,8257.0,EHR
X00006,MIPS_VG_374_overall,Closing the Referral Loop: Receipt of Specialist Report,N,,5.0,986.0,EHR
X00006,PI_VG_EP_1,e-Prescribing,N,,100.0,26.0,ATT
X00006,PI_VG_EP_2,Query of the Prescription Drug Monitoring Program (PDMP),N,Y,,,
X00006,PI_VG_HIE_5,Health Information Exchange (HIE) Bi-Directional Exchange,N,Y,,,
X00006,PI_VG_ONCACB_1,ONC-ACB Surveillance Attestation,N,Y,,,
X00006,PI_VG_ONCDIR_1,ONC Direct Review Attestation,N,Y,,,
X00006,PI_VG_PHCDRR_1_EX_1,Immunization Registry Reporting Exclusion,N,Y,,,
X00006,PI_VG_PHCDRR_3_EX_1,Electronic Case Reporting Exclusion,N,Y,,,
X00006,PI_VG_PPHI_1,Security Risk Analysis,N,Y,,,
X00006,PI_VG_PPHI_2,High Priority Practices Guide of the Safety Assurance Factors for EHR  Resilience (SAFER) Guides,N,Y,,,
